xnetStandalone_SN150_yields_rho1e9_T5e9.txt xnetFlash_SN150_rho1e9_T5e9_yields.txt L2_Error
sym:cr48 0.000929833374757 2.58793386364e-10 0.00092983285717
sym:k37 5.1324549881e-08 3.92297242593e-15 5.1324542035e-08
sym:p29 9.06654029809e-08 7.23265197107e-14 9.06652583279e-08
sym:k39 1.00537832045e-05 5.76557475002e-08 9.93880234969e-06
sym:k38 6.63118634048e-07 1.05189463773e-11 6.63097596322e-07
sym:sc48 6.22162173671e-16 5.03326585237e-06 40718.9093237
sym:sc49 4.99567407707e-18 1.48921704379e-05 44393756.8644
sym:b10 5.10550404161e-19 1.01656139766e-19 3.27478967977e-19
sym:b11 3.01973806096e-19 1.22989388237e-17 4.76621371549e-16
sym:sc43 6.9823343515e-07 8.6201093481e-10 6.96510477484e-07
sym:sc46 2.05723140512e-11 1.23143008925e-06 0.0737092285597
sym:sc47 4.90615013032e-13 1.08849810617e-05 241.498525087
sym:sc44 1.90474415535e-08 8.64564213338e-09 5.6804180694e-09
sym:sc45 5.94222609908e-09 9.78477291299e-07 0.000159170054669
sym:ne18 2.19165648341e-16 8.12280588274e-24 2.19165632095e-16
sym:ne19 1.21910680145e-15 2.70089093931e-20 1.21905278423e-15
sym:ni56 0.454174278228 4.49576612268e-09 0.454174269236
sym:ni57 0.102226964325 3.71727970265e-07 0.10222622087
sym:ni58 0.100776657501 0.000134479289373 0.100507878375
sym:ni59 0.00179756968444 0.00088070988591 0.000467649125056
sym:fe58 1.03832433176e-09 0.133919168677 17272390.6322
sym:li6 1.97261922931e-17 2.23016289949e-18 1.55179996217e-17
sym:li7 1.57411751999e-21 3.99696372814e-19 1.00692183492e-16
Relative Error:4729647.97403
